@relation tanks_data

@attribute Name STRING
@attribute Tier {'X', 'IX', 'VIII', 'VII', 'VI', 'V', 'IV', 'III', 'II', 'I'}
@attribute Premium {True, False}
@attribute Reward {True, False}
@attribute Event {True, False}
@attribute Nationality {'American', 'British', 'Soviet', 'Chinese', 'French', 'Czech', 'German', 'Italian', 'Japanese', 'Polish', 'Swedish'}
@attribute Type {'Heavy Tank', 'Medium Tank', 'Light Tank', 'Tank Destroyer', 'Artillery'}
@attribute DPM NUMERIC
@attribute Damage NUMERIC
@attribute Penetration (mm) NUMERIC
@attribute DPM at 500m (mm) NUMERIC
@attribute Reload time (sec) NUMERIC
@attribute Rate of fire (rnds/min) NUMERIC
@attribute Aim time (sec) NUMERIC
@attribute Dispersion NUMERIC
@attribute Dispersion damaged NUMERIC
@attribute Dispersion factors moving (+) NUMERIC
@attribute Dispersion factors tank traverse (+) NUMERIC
@attribute Dispersion factors turret traverse (+) NUMERIC
@attribute Dispersion factors after firing (+) NUMERIC
@attribute Dispersion factors damaged (×) NUMERIC
@attribute Damage vs. modules NUMERIC
@attribute Caliber (mm) NUMERIC
@attribute Shell velocity (m/s) NUMERIC
@attribute Max range (m) NUMERIC
@attribute Ammo capacity NUMERIC
@attribute Potential damage NUMERIC
@attribute Shell cost NUMERIC
@attribute Top speed (km/h) NUMERIC
@attribute Reverse speed (km/h) NUMERIC
@attribute Power (hp) NUMERIC
@attribute Power/weight (hp/t) NUMERIC
@attribute Tank traverse (°/sec) NUMERIC
@attribute Effective top speed hard (km/h) NUMERIC
@attribute Effective top speed medium (km/h) NUMERIC
@attribute Effective top speed soft (km/h) NUMERIC
@attribute Effective traverse hard (°/sec) NUMERIC
@attribute Effective traverse medium (°/sec) NUMERIC
@attribute Effective traverse soft (°/sec) NUMERIC
@attribute Terrain resistance hard NUMERIC
@attribute Terrain resistance medium NUMERIC
@attribute Terrain resistance soft NUMERIC
@attribute Gun elevation (°) NUMERIC
@attribute Gun depression (°) NUMERIC
@attribute Gun traverse (°/sec) NUMERIC
@attribute Gun traverse range (°) part 1 STRING
@attribute Gun traverse range (°) part 2 NUMERIC
@attribute Turret traverse (°/sec) NUMERIC
@attribute Hull armor (mm) part 1 NUMERIC
@attribute Hull armor (mm) part 2 NUMERIC
@attribute Hull armor (mm) part 3 NUMERIC
@attribute Turret armor (mm) part 1 NUMERIC
@attribute Turret armor (mm) part 2 NUMERIC
@attribute Turret armor (mm) part 3 NUMERIC
@attribute Track armor (mm) NUMERIC
@attribute Health NUMERIC
@attribute Engine health NUMERIC
@attribute Track health NUMERIC
@attribute Health repair time (sec) NUMERIC
@attribute Ammo rack health NUMERIC
@attribute Fuel tank health NUMERIC
@attribute Max load (kg) NUMERIC
@attribute Total weight (kg) NUMERIC
@attribute Stationary camo (%) part 1 NUMERIC
@attribute Stationary camo (%) part 2 NUMERIC
@attribute Moving camo (%) part 1 NUMERIC
@attribute Moving camo (%) part 2 NUMERIC
@attribute View range (m) NUMERIC
@attribute Radio range (m) NUMERIC
@attribute Fire chance (%) NUMERIC
@attribute Tank cost (silver) NUMERIC
@attribute Tank cost (gold) NUMERIC
@attribute Clip size NUMERIC
@attribute Clip damage part 1 NUMERIC
@attribute Clip damage part 2 NUMERIC
@attribute Intra-clip reload NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 1 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 2 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 3 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 4 NUMERIC
@attribute Max wheel angle (°) NUMERIC
@attribute Axle count NUMERIC
@attribute Siege enabled (km/h) NUMERIC
@attribute Siege disabled (km/h) NUMERIC
@attribute Rocket boosters uses NUMERIC
@attribute Rocket boosters duration (sec) NUMERIC
@attribute Rocket boosters cooldown (sec) NUMERIC
@attribute Rocket boosters initial cooldown (s) NUMERIC
@attribute Track health part 1 NUMERIC
@attribute Track health part 2 NUMERIC
@attribute Health repair time (sec) part 1 NUMERIC
@attribute Health repair time (sec) part 2 NUMERIC
@attribute Reload time (sec) part 1 NUMERIC
@attribute Reload time (sec) part 2 NUMERIC
@attribute DPM alt. gun (sec) NUMERIC
@attribute DPM charge/lock (sec) part 1 NUMERIC
@attribute DPM charge/lock (sec) part 2 NUMERIC
@attribute Dispersion before cooldown NUMERIC
@attribute Cooldown delay (sec) NUMERIC
@attribute Ricochet angle (°) NUMERIC
@attribute DPM at 50m NUMERIC
@attribute DPM at 50m at 500m NUMERIC
@attribute Damage at 50m NUMERIC
@attribute DPM at 50m at 500m (mm) NUMERIC
@attribute Dispersion factors at 500m NUMERIC
@attribute Explosion radius (m) NUMERIC
@attribute Stun duration (s) STRING
@attribute Shell gravity (m/s²) NUMERIC
@attribute Ballistic range (m) NUMERIC
@attribute DPM burst size NUMERIC
@attribute DPM burst damage part 1 NUMERIC
@attribute DPM burst damage part 2 STRING
@attribute Normalization (°) NUMERIC
@attribute Tank cost in NA NUMERIC
@attribute View range (m) in EU NUMERIC
@attribute View range (m) in Asia NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 5 NUMERIC
@attribute DPM at 400m (mm) NUMERIC

@data
'Object 283','IX',False,True,False,'Soviet','Medium Tank',2399.23,360,226,205,9,6.66,2.40,0.36,0.73,0.14,0.14,0.18,4,2,135,100,950,720,50,18000,1230,50,18,680,17.89,52.15,50,48.65,30.97,52.15,40.98,26.09,1.05,1.34,2.11,20,6,33.25,'-180',180,41.72,190,80,45,250,150,60,20,1600,360,240,8.02,252,175,40000,38000,15.10,2.99,11.34,2.25,380,730,10,?,13150,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 430','IX',False,False,False,'Soviet','Medium Tank',2516.10,390,238,222,9.30,6.45,2.40,0.40,0.81,0.16,0.16,0.12,4,2,165,122,880,720,40,15600,840,50,18,520,14.82,54.24,50,50,35.25,55.85,47.87,20.94,0.58,0.67,1.53,16.2,5,25,'-180',180,39.63,120,80,40,248,185,63,20,1800,360,240,8.02,252,200,39000,35090,17.84,3.21,13.39,2.41,380,730,10,3460000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 430 Version II','IX',False,False,False,'Soviet','Medium Tank',2902.26,320,246,225,6.62,9.07,1.92,0.34,0.67,0.12,0.12,0.12,3.50,2,135,100,1015,720,50,16000,1230,55,20,610,16.74,50.06,55,55,39.81,51.22,44.82,22.41,0.67,0.77,1.53,16,4,33.25,'-180',180,41.72,80,60,40,180,120,50,20,1600,360,240,8.02,200,200,40000,36450,16.60,2.56,12.42,1.91,400,760,10,3450000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 590','IX',True,False,False,'Soviet','Medium Tank',2355.95,320,238,218,?,7.36,2.78,0.36,0.73,0.25,0.25,0.14,3.50,2,135,100,1480,720,45,14400,1100,52,20,700,17.46,45.89,52,52,30.20,43.60,39.63,19.82,0.96,1.05,2.11,23,6,22,'-180',180,41.72,110,85,45,200,130,100,20,1800,370,240,8.02,252,200,42000,40100,16.53,2.55,12.37,1.90,380,850,15,?,10950,3,960,8,4,8.15,14.38,18.22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Patton the Tank','IX',False,True,False,'American','Medium Tank',2139.49,400,242,221,11.22,5.35,2.40,0.38,0.77,0.22,0.22,0.12,4,2,165,120,1067,720,36,14400,1060,40,17,770,15.49,37.55,40,40,32.75,35.67,31.71,15.85,0.77,0.86,1.73,20,10,26.25,'-180',180,36.50,152.4,76.2,38.1,203.2,76.2,50.8,20,1700,285,240,8.02,260,200,53000,49714,7.92,1.43,5.93,1.07,380,777.03,12,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Prototipo Standard B','IX',False,False,False,'Italian','Medium Tank',2048.07,360,268,258,?,5.69,2.40,0.35,0.71,0.18,0.18,0.14,4,2,150,105,1450,720,60,21600,920,65,23,690,20,56.32,65,65,34.60,62.03,56.39,28.19,0.96,1.05,2.11,20,10,35,'-180',180,33.38,50,25,15,60,55,55,20,1700,360,240,8.02,220,200,39000,34480,16.01,3.17,12.02,2.38,390,745,10,3500000,?,3,1080,6,3,14.38,12.46,10.55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Škoda T 50','IX',False,False,False,'Czech','Medium Tank',2333.32,320,248,225,21.09,7.29,2.11,0.34,0.67,0.18,0.18,0.10,3,2,135,100,1400,720,45,14400,1110,50,20,1057.28,27.53,43.81,50,50,50,55.08,40.80,28.25,0.96,1.29,1.87,20,8,33,'-180',180,43.81,65,40,40,120,80,60,20,1650,360,240,8.02,220,200,43000,38400,11.85,2.48,8.90,1.86,400,850,10,3460000,?,3,960,3.59,1.80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'T 54D','IX',True,False,False,'German','Medium Tank',2198.76,390,268,258,10.64,5.64,2.59,0.32,0.63,0.22,0.22,0.14,4,2,150,105,1478,720,40,15600,980,40,15,580,12.89,36.50,40,40,35.04,36.50,31.94,18.25,0.67,0.77,1.34,20,5,35,'-180',180,31.29,100,80,45,240,180,65,20,1600,370,240,8.02,200,200,48000,45000,15.56,3.42,11.68,2.57,380,782.25,12,?,11000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'T 55A','IX',False,True,False,'German','Medium Tank',2600.73,320,221,198,7.38,8.13,1.92,0.32,0.63,0.12,0.12,0.10,3.50,2,135,100,1070,720,43,13760,1230,50,20,750,20,52.15,50,50,50,52.15,45.63,26.07,0.67,0.77,1.34,14.25,5,33.25,'-180',180,47.98,100,80,45,240,180,65,20,1750,370,240,8.02,200,200,39800,37500,15.56,3.25,11.68,2.44,395,761.39,12,?,17500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'T-54','IX',False,False,False,'Soviet','Medium Tank',2706.16,320,201,181,7.09,8.46,2.40,0.37,0.75,0.14,0.14,0.12,3.50,2,135,100,895,720,50,16000,1230,56,20,740.10,21.16,50.06,56,56,36.60,54.94,49.95,24.97,0.96,1.05,2.11,20,6,33.25,'-180',180,45.89,120,80,45,240,180,65,20,1650,370,240,8.02,200,200,39800,34980,15.59,3.26,11.69,2.44,390,761.39,12,3450000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'T-54 FL','IX',True,False,False,'Soviet','Medium Tank',2706.16,320,201,181,7.09,8.46,2.40,0.37,0.75,0.14,0.14,0.12,3.50,2,135,100,895,720,50,16000,1230,56,20,740.10,21.16,50.06,56,56,36.60,50.06,45.51,22.76,0.96,1.05,2.11,20,6,33.25,'-180',180,45.89,120,80,45,240,180,65,20,1650,370,240,8.02,200,200,39800,34980,15.59,3.26,11.69,2.44,390,761.39,12,10000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Type 61','IX',False,False,False,'Japanese','Medium Tank',2747.41,360,258,232,7.86,7.63,2.01,0.36,0.73,0.10,0.10,0.11,4,2,150,105,1185,720,50,18000,1200,45,23,750,21.43,52.15,45,45,37.07,56.54,51.40,25.70,0.96,1.05,2.11,13,10,20,'-180',180,43.81,55,45,25,85,80,35,20,1750,300,240,8.02,240,200,38000,35000,9.21,1.92,6.91,1.44,400,750,12,3600000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'UDES 03 Alt 3','IX',True,False,False,'Swedish','Medium Tank',1864.04,360,252,240,28.76,5.18,2.21,0.32,0.63,0.16,0.16,0.06,3,2,150,105,1230,720,45,16200,840,55,18,540,18,52.15,55,55,31.14,49.54,45.04,22.52,0.96,1.05,2.11,15,7,20,'-180',180,41.72,35,35,20,66,30,20,20,1600,285,240,8.02,220,200,33000,30000,17.16,3.40,12.88,2.55,390,850,12,?,11600,3,1080,6,3,?,?,?,?,?,?,10,19
'UDES 16','IX',False,False,False,'Swedish','Medium Tank',2392.76,390,234,220,9.78,6.14,2.11,0.35,0.69,0.20,0.10,0.10,4,2,150,105,1150,720,40,15600,1160,50,20,590,21.07,47.98,50,50,36.45,54.92,49.92,24.96,0.96,1.05,2.11,15,5,20,'-180',180,38.59,45,40,20,70,40,20,20,1650,360,240,8.02,220,200,33000,28000,16.86,3.52,12.63,2.64,390,850,10,3480000,?,?,?,?,?,?,?,?,?,?,?,10,19
'WZ-120','IX',False,False,False,'Chinese','Medium Tank',2503.20,440,249,235,10.55,5.69,2.59,0.36,0.73,0.14,0.14,0.12,4,2,165,122,950,720,40,17600,1065,60,20,634.37,17.05,47.98,60,60,36.06,53.57,47.62,23.81,0.77,0.86,1.73,15,3,26.25,'-180',180,43.81,100,80,45,220,160,65,20,1750,360,240,8.02,200,200,40200,37200,15.39,2.77,11.57,2.08,390,782.25,12,3520000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'50TP Tyszkiewicza','IX',False,False,False,'Polish','Heavy Tank',2190.30,560,250,235,15.34,3.91,2.88,0.38,0.77,0.22,0.22,0.16,3.50,2,180,130,900,720,30,16800,1350,35,14,650,13,27.12,35,35,19.92,28.13,22.50,12.38,1.05,1.31,2.38,20,8,26.25,'-180',180,27.12,120,90,60,230,160,100,20,2000,370,240,12.03,210,200,53000,49990,5.42,0.83,2.71,0.41,380,700,15,3500000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'AE Phase I','IX',False,True,False,'American','Heavy Tank',2275.64,400,258,238,10.55,5.69,2.40,0.36,0.73,0.14,0.14,0.08,4,2,165,120,1067,720,40,16000,1060,35,12,900,16.07,31.29,35,35,25.49,29.73,27.44,14.86,1.15,1.25,2.30,15,10,26.25,'-180',180,33.38,120.7,88.9,38.1,292.1,101.6,50.8,20,1800,285,240,10.46,260,200,60000,56000,5.24,0.94,2.62,0.47,390,745,20,?,17500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'AMX 50 120','IX',False,False,False,'French','Heavy Tank',2204.01,400,257,237,33.56,5.51,2.59,0.34,0.67,0.20,0.20,0.14,4,2,165,120,1067,720,40,16000,1060,65,20,1057.28,17.62,33.38,51.58,47.90,29.15,38.74,35.97,21.89,1.25,1.34,2.21,11,9,26.25,'-180',180,33.38,100,80,60,100,80,60,30,1750,260,250,12.03,260,200,65000,60010,3.99,0.56,1.99,0.28,390,782.25,15,3565000,?,4,1600,10,3.33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'AMX M4 mle. 51','IX',False,False,False,'French','Heavy Tank',2211.47,470,242,222,12.75,4.71,2.40,0.35,0.69,0.16,0.16,0.12,3,2,178,127,808,720,30,14100,1130,35,15,1170,16.03,27.12,35,35,26.52,38.93,36.15,22,1.25,1.34,2.21,15,8,20,'-180',180,29.20,180,60,40,300,80,40,30,1900,260,250,12.03,260,200,78000,73000,3.49,0.56,1.74,0.28,380,782.25,20,3580000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'AMX M4 mle. 51 FL','IX',True,False,False,'French','Heavy Tank',2235,400,257,237,10.74,5.59,1.92,0.33,0.65,0.16,0.16,0.08,3,2,165,120,1067,720,40,16000,1050,35,15,1170,16.12,27.12,35,35,26.67,27.12,25.18,15.33,1.25,1.34,2.21,15,8,26.25,'-180',180,29.20,180,60,40,300,80,40,30,1900,260,250,12.03,260,200,78000,72580,3.49,0.49,1.74,0.24,380,782.25,20,10000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'BZ-58-2','IX',False,True,False,'Chinese','Heavy Tank',2155.07,520,250,235,14.48,4.14,2.88,0.35,0.71,0.19,0.19,0.15,3.50,2,180,130,1050,720,30,15600,1200,35,15,650,13,31.29,35,35,26.05,31.29,28.45,16.47,0.96,1.05,1.82,20,8,26.25,'-180',180,31.29,70,70,50,230,160,100,20,1900,370,240,10.46,210,200,53000,49990,6.94,1.12,3.50,0.57,380,700,12,?,12900,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'BZ-68','IX',False,False,False,'Chinese','Heavy Tank',2139.83,530,248,233,14.86,4.04,2.88,0.40,0.81,0.20,0.20,0.16,3.50,2,180,130,1050,720,30,15900,1315,30,14,770,12.83,29.20,30,30,25.71,35.41,32.19,18.64,0.96,1.05,1.82,20,8,25,'-180',180,25.03,120,110,60,280,130,70,20,1900,370,240,12.03,210,200,63000,60000,6.16,0.94,3.10,0.47,380,750,15,3700000,?,?,?,?,?,?,?,?,?,?,?,?,?,5,10,4,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Concept 1B','IX',False,True,False,'American','Heavy Tank',2275.64,400,258,248,10.55,5.69,2.21,0.36,0.73,0.14,0.14,0.08,4,2,150,110,1478,720,40,16000,1030,45,18,900,20.64,43.81,45,45,32.73,41.62,38.41,20.81,1.15,1.25,2.30,20,10,35,'-180',180,33.38,130,120,80,250,110,100,20,1800,285,240,12.03,260,200,47000,43600,5.93,1.30,2.96,0.65,400,750,20,?,17500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Conqueror','IX',False,False,False,'British','Heavy Tank',2215.22,400,259,239,10.83,5.54,1.82,0.32,0.63,0.12,0.12,0.10,4,2,165,120,1067,720,35,14000,1060,34.30,12,950,14.44,27.12,34.30,34.30,23.89,35.24,29.82,16.85,1.05,1.25,2.21,15,10,26.25,'-180',180,33.38,152.4,76.2,38.1,254,88.9,69.9,25,1950,320,240,12.03,260,200,68000,65812,4.50,0.86,2.22,0.42,400,782.25,20,3600000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Conqueror FL','IX',True,False,False,'British','Heavy Tank',2215.22,400,259,239,10.83,5.54,1.82,0.32,0.63,0.12,0.12,0.10,4,2,165,120,1067,720,35,14000,1060,34.30,12,950,14.44,27.12,34.30,34.30,23.89,25.76,21.80,12.32,1.05,1.25,2.21,15,10,26.25,'-180',180,33.38,152.4,76.2,38.1,254,88.9,69.9,25,1950,320,240,12.03,260,200,68000,65812,4.50,0.86,2.22,0.42,400,782.25,20,10000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'E 75','IX',False,False,False,'German','Heavy Tank',2112.57,530,246,241,15.05,3.99,2.30,0.35,0.71,0.21,0.21,0.11,3,2,180,128,920,720,36,19080,1130,40,15,951.55,10.39,31.29,35.94,32.95,17.97,35.46,32.51,17.73,1.05,1.15,2.11,15,8,26.25,'-180',180,18.77,160,120,120,280,160,160,40,1950,320,250,12.03,240,200,96000,91600,4.01,0.61,2,0.31,400,740.53,20,3480000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'E 77','IX',True,False,False,'German','Heavy Tank',2248.97,460,246,230,12.27,4.89,2.40,0.37,0.75,0.24,0.24,0.12,3,2,165,128,1080,720,40,18400,1070,40,16,1010,15.54,31.29,40,34.79,23.66,29.73,19.23,13.08,1.05,1.63,2.40,15,8,26.25,'-180',180,26.07,135,80,80,290,160,80,40,1800,320,250,12.03,240,200,70000,65000,5.53,0.90,2.74,0.44,390,730.10,20,?,13050,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Emil II','IX',False,False,False,'Swedish','Heavy Tank',2278.27,440,252,228,28.76,5.18,2.68,0.40,0.81,0.25,0.25,0.18,3.50,2,165,120,1000,720,48,21120,1015,40,12,550,14.91,31.29,34.91,32.42,19.73,41.81,38.82,23.63,1.56,1.68,2.76,8,12,26,'-180',180,20.86,80,60,30,215,60,30,30,1700,285,250,12.03,260,200,40000,36900,5.98,1.08,2.96,0.53,380,850,15,3550000,?,3,1320,6,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'FV4201 Chieftain Proto','IX',True,False,False,'British','Heavy Tank',2086,400,262,245,11.51,5.21,2.59,0.35,0.71,0.22,0.22,0.13,4,2,165,119.38,1150,720,59,23600,1050,40,13,780,15.60,28.16,40,40,25.81,26.75,22.64,12.79,1.05,1.25,2.21,20,10,26.25,'-180',180,28.16,80,60,35,350,110,35,25,1800,320,240,12.03,260,200,52000,50000,6.50,1.23,3.25,0.62,390,782.25,10,?,13000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'IS-3-II','IX',False,False,False,'Soviet','Heavy Tank',2324.40,390,243,218,?,5.96,2.88,0.38,0.77,0.16,0.16,0.08,3,2,165,122,1007,720,74,28860,1070,38,15,780,14.06,29.20,38,38,28.17,28.61,26.01,15.06,0.96,1.05,1.82,20,8,26.25,'-180',180,22.95,145,90,60,280,150,130,20,1800,370,240,12.03,200,200,58000,55464,6.45,1.16,3.25,0.59,380,625,15,3570000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.07,10.07,5,2.5,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Lorraine 50 t','IX',False,True,False,'French','Heavy Tank',1788,400,264,246,13.42,4.47,2.88,0.32,0.63,0.17,0.17,0.15,4,2,165,120,1067,720,55,22000,1050,60,15,900,16.36,31.29,55.36,49.84,27.68,29.73,26.76,14.86,1.08,1.20,2.16,15,10,26.25,'-180',180,31.29,90,40,30,250,70,30,30,1750,360,250,10.46,260,200,57000,55000,4.56,0.82,2.28,0.41,380,750,20,?,17500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M-VI-Y','IX',False,False,False,'American','Heavy Tank',2195.79,400,243,223,10.93,5.49,2.40,0.36,0.73,0.22,0.22,0.10,4,2,165,120,1000,720,38,15200,1060,40,15,780,16.78,29.20,40,40,26.61,30.60,28.25,15.30,1.15,1.25,2.30,20,10,20,'-180',180,31.29,165.1,88.9,38.1,330.2,101.6,50.8,20,1800,285,?,?,260,200,50000,46487,4.56,0.87,2.28,0.43,390,745,20,3620000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,240,120,12.03,9.29,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M103','IX',False,False,False,'American','Heavy Tank',2503.20,400,258,238,9.59,6.26,2.21,0.35,0.71,0.16,0.16,0.06,4,2,165,120,1067,720,45,18000,1060,34,12,909.26,16.04,28.16,34,34,25.44,27.25,25.16,13.63,1.15,1.25,2.30,15,8,26.25,'-180',180,27.12,228.6,44.5,44.5,254,99.1,53.3,20,1950,260,240,12.03,260,200,62500,56689,4.62,0.83,2.34,0.42,390,745,20,3640000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Mäuschen','IX',False,False,False,'German','Heavy Tank',2044.28,490,246,241,14.38,4.17,2.21,0.36,0.73,0.20,0.20,0.10,3,2,180,128,920,720,50,24500,1070,20,15,1750,10.30,15.64,20,20,18.66,18.41,15.58,9.65,1.06,1.25,2.01,25,8,26.25,'-180',180,15.64,200,155,135,240,160,150,50,2300,360,250,12.03,240,200,180000,169930,2.17,0.35,1.08,0.18,400,740.53,12,3580000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 257','IX',False,False,False,'Soviet','Heavy Tank',2118.09,440,248,222,12.46,4.81,2.78,0.38,0.77,0.18,0.18,0.10,3.50,2,165,122,1259,720,40,17600,1180,50,15,850,15.45,41.72,45.25,34.60,23.53,47.27,36.15,24.58,1.25,1.63,2.40,15,5,26.25,'-180',180,27.12,130,130,70,350,240,100,20,1900,360,240,12.03,210,200,60000,55000,6.61,1.19,3.27,0.59,390,730,12,3560000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 705','IX',False,False,False,'Soviet','Heavy Tank',2086,490,250,240,14.09,4.26,2.88,0.42,0.84,0.18,0.18,0.10,4,2,180,130,900,720,30,14700,1118,40,15,900,13.85,25.03,40,29.28,17,27.21,19.65,11.41,1.25,1.73,2.97,20,5,26.25,'-180',180,27.12,155,90,60,300,150,100,20,2000,360,240,12.03,210,200,70000,65000,6.30,0.96,3.12,0.48,380,625,15,3570000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
